017KJcZd2GpMXKQV,1
01R2tkKoJY7ii4AD,0
024WtT0VPvio74fD,1
02OaDfEaDN88YndS,0
04Wex4aauKiPbURh,0
04Wn9M6Rnf8Qk1uz,1
05bJbSYfgzEsrdAG,0
064alf6A7224a7l5,1
06FfphWRtFqZcvaW,1
06YkLEvdHv4BC6rR,0
07PcRwgrSOVqIp8f,1
08g4dWAb34gIfkwx,1
09r8T8IoDVGb5ra4,0
0amld6IkT95aG6nP,0
0AyxhQCx34BHQpPN,0
0az2Dz6jF7tVYDT4,0
0B1lcgO7lhq09xmP,0
0BKwX8eAJnY6tuUo,1
0brndnBoY53jVyE4,1
0c9SQQ3buUW7PAmg,1
0ctoXl7P6mVpSMwI,0
0dhlS1OEdZmfRnFH,1
0DmS5fyHGxvPukNe,1
0Dqu0WA3bVWLaZCs,1
0dVTswCWvYNc0m2u,1
0E9pct7OCQibafgm,0
0EbCTGrG1rxkfLN4,0
0EedgBISHSPtF2oa,0
0eJLTMw55sL9TTvQ,1
0EVVkUADbbfA0wMP,1
0EXc1vedNzxA7n9Q,0
0ez8rtuD59ic3l2v,1
0G7uwG1siV0kLyXi,1
0GaMYB4asQgxkUpR,0
0gcgN3mytH63XkzF,0
0gistqaf5ZXBQ2tZ,0
0GVTCDsuAkuVkUIF,0
0HI2VqYKcsQoTpd8,0
0iaRxfRfPUFrkVhA,1
0J0gLob39TJWfRA1,1
0J2ge3SUJst3BZ8z,1
0j932JFyly9LjOBu,1
0KiHz3f7ytABnEL4,0
0kTMNiiqiUeUjH1H,0
0lBNQBNYA4JTCiRk,1
0LSQ3WbeceyHSdZc,0
0M3N32vlAtFqh4xq,1
0Mo0FeDBITjiU6zw,1
0mr7um6WSpsWICwS,0
0MsPO6zPvSHjhfyM,1
0Mu8IyadSijrlTSk,1
0nCubBg9dEZOIsvX,0
0NJRIEcad7nbIBvo,0
0nK7QwvHW1ZcWgJW,1
0NVr4ksmeJ1tfioq,0
0o8KaM1dRES5mgMu,1
0oHvCPU5h0Fmh5eR,0
0pmo31nlKAwg4HiZ,0
0qAiKvalNn1fU8sN,1
0QAzrW2F0YE3OOWo,1
0qB0zHaFHWkTgSZo,0
0QWyy30xpmJPdFsw,0
0RkN0ieEmCx9fxjG,0
0rvCKTuvDFsBWizV,0
0Sn3CbC3gk5943V5,1
0SohtTWszlNc3j0L,1
0sPibEbU9Vcj19wb,0
0Sr9B4KyLOJDRyX8,1
0SX2viuWI0BShazf,1
0SyJ9VMhFPICD4Wj,0
0UK1hPLBMACu3QC7,0
0UrnHDXyFFrCazQu,1
0uxKxHqdLxKGtLI1,1
0v98Qi1uy65OQHcj,1
0VcqCoCjhwfqTGpg,0
0WNjJA2XAv3OvsJG,1
0WOECx85Ye1kCvEU,1
0wR3TFK7QlA0ZFuj,0
0wu8SBKdfd0ZSa6s,1
0wXmVRiLTolPQlSf,0
0ynXg2O2JU0Shta1,1
0YpD14dS7E3Iy4f5,1
0zYOYSV8A3tkgYOs,0
0ZZqWxiIXpUNdRoA,1
10tFJJUKAUKmrIjG,0
11kTAbKWK5Bdc2zw,0
11O8DLg29swlmrvp,0
125niSioRyuc70h1,0
125tfy2jEeG4NjrM,0
12fFTLVU1tjfKo73,1
15DQOyy4cH2B49IB,1
15EGOwv2ZNBvZC0y,0
15Jf9szOKhJEd2lv,1
167lzcZmmBaNTMZ5,1
